RawSpecies,CleanSpecies,Notes
Acanthis flammea,Carduelis flammea,
Acanthis hornemanni,Carduelis hornemanni,
Accipiter cooperii,Accipiter cooperii,
Accipiter gentilis,Accipiter gentilis,
Accipiter striatus,Accipiter striatus,
Actitis macularius,Actitis macularius,
Aeronautes saxatalis,Aeronautes saxatalis,
Agelaius phoeniceus,Agelaius phoeniceus,
Aimophila ruficeps,Aimophila ruficeps,
Aix sponsa,Aix sponsa,
Ammodramus henslowii,Ammodramus henslowii,
Ammodramus nelsoni,Ammodramus nelsoni,
Ammodramus savannarum,Ammodramus savannarum,
Amphispiza bilineata,Amphispiza bilineata,
Anas americana,Anas americana,
Anas carolinensis carolinensis,Anas crecca,
Anas clypeata,Anas clypeata,
Anas discors,Anas discors,
Anas platyrhynchos,Anas platyrhynchos,
Anas strepera,Anas strepera,
Anthracothorax dominicus,Anthracothorax dominicus,
Anthus rubescens,Anthus rubescens,
Antrostomus carolinensis,Caprimulgus vociferus,genus change
Antrostomus noctitherus,Caprimulgus noctitherus,genus change
Aphelocoma californica,Aphelocoma californica,california scrub jay
Aphelocoma wollweberi,Aphelocoma ultramarina,"mexican jay, separated from the transvolcanic jay"
Aphelocoma woodhouseii,Aphelocoma californica,"woodhouse's scrub jay, split from california scrub jay"
Aquila chrysaetos,Aquila chrysaetos,
Archilochus alexandri,Archilochus alexandri,
Archilochus colubris,Archilochus colubris,
Ardea alba,Casmerodius albus,former name
Ardea herodias,Ardea herodias,
Artemisiospiza nevadensis,Amphispiza belli,formerly grouped into sage sparrow
Asio flammeus,Asio flammeus,
Asio otus,Asio otus,
Auriparus flaviceps,Auriparus flaviceps,
Aythya affinis,Aythya affinis,
Baeolophus bicolor,Baeolophus bicolor,
Baeolophus inornatus,Baeolophus inornatus,
Baeolophus ridgwayi,Baeolophus ridgwayi,
Bartramia longicauda,Bartramia longicauda,
Bombycilla cedrorum,Bombycilla cedrorum,
Bonasa umbellus,Bonasa umbellus,
Branta canadensis,Branta canadensis,
Bubo virginianus,Bubo virginianus,
Bubulcus ibis,Bubulcus ibis,
Buteo jamaicensis,Buteo jamaicensis,
Buteo lineatus,Buteo lineatus,
Buteo plagiatus,Buteo nitidus,
Buteo platypterus,Buteo platypterus,
Buteo swainsoni,Buteo swainsoni,
Butorides virescens,Butorides virescens,
Calamospiza melanocorys,Calamospiza melanocorys,
Calcarius lapponicus,Calcarius lapponicus,
Calcarius pictus,Calcarius pictus,
Calidris minutilla,Calidris minutilla,
Calidris pusilla,Calidris pusilla,
Callipepla californica,Callipepla californica,
Callipepla gambelii,Callipepla gambelii,
Callipepla squamata,Callipepla squamata,
Calypte anna,Calypte anna,
Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,
Cardellina canadensis,Wilsonia canadensis,genus change
Cardellina pusilla,Wilsonia pusilla,genus change
Cardinalis cardinalis,Cardinalis cardinalis,
Cardinalis sinuatus,Cardinalis sinuatus,
Cathartes aura,Cathartes aura,
Catharus fuscescens,Catharus fuscescens,
Catharus guttatus,Catharus guttatus,
Catharus minimus,Catharus minimus,
Catharus ustulatus,Catharus ustulatus,
Catherpes mexicanus,Catherpes mexicanus,
Certhia americana,Certhia americana,
Chaetura pelagica,Chaetura pelagica,
Charadrius vociferus,Charadrius vociferus,
Chlorostilbon maugaeus,Chlorostilbon maugaeus,
Chondestes grammacus,Chondestes grammacus,
Chordeiles acutipennis,Chordeiles acutipennis,
Chordeiles gundlachii,Chordeiles gundlachii,
Chordeiles minor,Chordeiles minor,
